"region","sexo","edad","educ","ingreso","univ","genero"
16,2,71,3,180000,0,"Mujer"
4,1,18,3,300000,NA,"Hombre"
6,1,29,7,1187334,0,"Hombre"
14,1,47,5,451667,0,"Hombre"
8,2,46,5,NA,0,"Mujer"
8,2,21,9,NA,NA,"Mujer"
8,1,63,3,300000,0,"Hombre"
9,1,46,12,805000,1,"Hombre"
14,1,53,2,625000,0,"Hombre"
5,1,53,8,300000,0,"Hombre"
9,2,54,1,60000,0,"Mujer"
5,1,25,9,424500,NA,"Hombre"
9,1,85,1,154125,0,"Hombre"
13,2,59,4,NA,0,"Mujer"
9,1,24,5,265000,NA,"Hombre"
8,2,3,0,NA,NA,"Mujer"
5,2,11,1,NA,NA,"Mujer"
7,2,17,4,NA,NA,"Mujer"
4,2,13,1,NA,NA,"Mujer"
10,2,63,5,270000,0,"Mujer"
8,2,42,5,NA,0,"Mujer"
13,1,25,9,NA,NA,"Hombre"
9,2,14,2,NA,NA,"Mujer"
4,2,62,1,NA,0,"Mujer"
7,1,56,2,376800,0,"Hombre"
15,1,55,5,480000,0,"Hombre"
5,2,16,3,NA,NA,"Mujer"
13,2,87,1,154000,0,"Mujer"
5,1,33,9,1671167,0,"Hombre"
11,2,18,5,NA,NA,"Mujer"
13,2,18,3,NA,NA,"Mujer"
10,2,17,3,NA,NA,"Mujer"
14,1,53,2,40000,0,"Hombre"
6,2,43,5,750000,0,"Mujer"
9,2,48,3,NA,0,"Mujer"
3,1,33,2,482000,0,"Hombre"
16,1,19,3,NA,NA,"Hombre"
1,2,9,1,NA,NA,"Mujer"
7,2,60,2,NA,0,"Mujer"
4,2,9,1,NA,NA,"Mujer"
13,1,46,11,NA,1,"Hombre"
8,1,24,9,NA,NA,"Hombre"
13,2,4,0,NA,NA,"Mujer"
13,2,53,1,50000,0,"Mujer"
13,2,63,4,90000,0,"Mujer"
13,1,32,8,401200,0,"Hombre"
5,2,22,9,NA,NA,"Mujer"
13,2,69,1,350000,0,"Mujer"
15,2,74,11,1120000,1,"Mujer"
13,1,30,8,NA,0,"Hombre"
2,2,40,11,350000,1,"Mujer"
4,1,17,5,NA,NA,"Hombre"
10,2,41,5,NA,0,"Mujer"
8,2,2,0,NA,NA,"Mujer"
6,2,40,2,200000,0,"Mujer"
13,2,53,11,407500,1,"Mujer"
4,2,33,9,900000,0,"Mujer"
5,1,66,5,1400000,0,"Hombre"
6,1,19,9,260000,NA,"Hombre"
14,1,66,2,720000,0,"Hombre"
7,1,45,2,270000,0,"Hombre"
13,2,76,11,500000,1,"Mujer"
1,2,22,5,NA,NA,"Mujer"
14,1,63,2,150000,0,"Hombre"
13,1,33,8,NA,0,"Hombre"
7,2,5,0,NA,NA,"Mujer"
6,2,42,3,NA,0,"Mujer"
10,1,58,2,300000,0,"Hombre"
6,2,13,2,NA,NA,"Mujer"
12,1,60,3,415833,0,"Hombre"
6,2,43,5,300000,0,"Mujer"
6,1,5,0,NA,NA,"Hombre"
9,1,12,1,NA,NA,"Hombre"
6,2,28,8,100000,0,"Mujer"
14,1,17,3,NA,NA,"Hombre"
9,2,53,5,NA,0,"Mujer"
13,2,28,5,400000,0,"Mujer"
10,1,54,5,480000,0,"Hombre"
13,1,80,0,NA,0,"Hombre"
9,2,47,2,242277,0,"Mujer"
4,1,41,5,320000,0,"Hombre"
13,1,25,0,NA,NA,"Hombre"
16,2,22,9,NA,NA,"Mujer"
13,1,64,5,300000,0,"Hombre"
4,1,60,1,72083,0,"Hombre"
10,1,9,1,NA,NA,"Hombre"
1,2,56,5,200000,0,"Mujer"
14,1,33,5,NA,0,"Hombre"
13,2,20,9,NA,NA,"Mujer"
9,2,62,2,NA,0,"Mujer"
13,1,63,11,1741667,1,"Hombre"
14,2,19,5,NA,NA,"Mujer"
3,2,31,3,150000,0,"Mujer"
13,2,59,5,472500,0,"Mujer"
7,2,46,5,431667,0,"Mujer"
8,2,40,1,NA,0,"Mujer"
6,2,16,3,NA,NA,"Mujer"
